Freq_Inf,Sim_inf_gnd_77,Freq_68mm,Sim_finite_gnd_68,Freq_82mm,Sim_finite_gnd_82,Freq_None,Meas_no_ground,Freq_PCB,Meas_PCB_ground
933.618090452261,-13.5798921657059,933.618090452261,-15.4403500538342,933.618090452261,-5.57088834877255,944.6412,-8.340325,NaN,NaN
934.27135678392,-13.5173946598817,934.27135678392,-15.3823242972512,934.27135678392,-5.54889202017439,946.2612,-7.976725,NaN,NaN
934.924623115578,-13.4539864979459,934.924623115578,-15.323330374612,934.924623115578,-5.52708216443833,948.3267,-7.652121,NaN,NaN
935.577889447236,-13.3897404376469,935.577889447236,-15.263438192469,935.577889447236,-5.50545676396882,950.1921,-8.010825,NaN,NaN
936.231155778894,-13.3247268573027,936.231155778894,-15.2027156003625,936.231155778894,-5.48401382878592,951.3721,-8.146945,NaN,NaN
936.884422110553,-13.2590137052813,936.884422110553,-15.1412283269861,936.884422110553,-5.46275139605321,952.9695,-8.37744,NaN,NaN
937.537688442211,-13.1926664657104,937.537688442211,-15.0790399316799,937.537688442211,-5.44166752961568,954.3988,-8.397366,NaN,NaN
938.190954773869,-13.1257481390138,938.190954773869,-15.0162117700937,938.190954773869,-5.4207603195473,955.6796,-8.400948,NaN,NaN
938.844221105528,-13.0583192358901,938.844221105528,-14.9528029728555,938.844221105528,-5.40002788170816,957.0043,-8.442551,NaN,NaN
939.497487437186,-12.9904377833824,939.497487437186,-14.8888704360917,939.497487437186,-5.37946835731069,958.7521,-8.45395,NaN,NaN
940.150753768844,-12.9221593417367,940.150753768844,-14.8244688226694,940.150753768844,-5.35907991249516,959.5733,-8.461073,NaN,NaN
940.804020100502,-12.8535370308012,940.804020100502,-14.7596505730632,940.804020100502,-5.33886073791371,960.825,-8.36654,NaN,NaN
941.457286432161,-12.7846215647837,941.457286432161,-14.6944659247942,941.457286432161,-5.31880904832306,962.6185,-8.452359,NaN,NaN
942.110552763819,-12.7154612942545,942.110552763819,-14.6289629394366,942.110552763819,-5.29892308218557,964.1874,-8.474751,NaN,NaN
942.763819095477,-12.6461022543533,942.763819095477,-14.5631875362422,942.763819095477,-5.27920110127842,965.3737,-8.932955,NaN,NaN
943.417085427136,-12.5765882182356,943.417085427136,-14.4971835314899,943.417085427136,-5.25964139031073,966.2429,-9.458669,NaN,NaN
944.070351758794,-12.5069607548689,944.070351758794,-14.4309926827294,944.070351758794,-5.24024225654844,967.2972,-9.902554,NaN,NaN
944.723618090452,-12.4372592903613,944.723618090452,-14.3646547371455,944.723618090452,-5.22100202944673,968.7753,-9.990027,NaN,NaN
945.376884422111,-12.3675211720821,945.376884422111,-14.2982074833331,945.376884422111,-5.20191906028978,970.0446,-10.01062,NaN,NaN
946.030150753769,-12.297781734902,946.030150753769,-14.2316868058311,946.030150753769,-5.18299172183782,971.8906,-9.67453,NaN,NaN
946.683417085427,-12.2280743689476,946.683417085427,-14.1651267418223,946.683417085427,-5.16421840798105,973.5682,-9.98849,NaN,NaN
947.336683417085,-12.1584305883321,947.336683417085,-14.0985595394615,947.336683417085,-5.14559753340056,975.1936,-10.19208,NaN,NaN
947.989949748744,-12.0888801003814,947.989949748744,-14.0320157173497,947.989949748744,-5.1271275332358,976.1604,-10.68058,NaN,NaN
948.643216080402,-12.0194508749337,948.643216080402,-13.9655241247213,948.643216080402,-5.10880686275866,977.7928,-10.79545,NaN,NaN
949.29648241206,-11.9501692133434,949.29648241206,-13.8991120019594,949.29648241206,-5.09063399705389,978.7884,-10.41941,NaN,NaN
949.949748743719,-11.8810598168665,949.949748743719,-13.832805041101,949.949748743719,-5.07260743070573,980.0063,-10.46803,NaN,NaN
950.603015075377,-11.8121458541528,950.603015075377,-13.766627446034,950.603015075377,-5.05472567749063,981.081,-10.9443,NaN,NaN
951.256281407035,-11.7434490276087,951.256281407035,-13.7006019921268,951.256281407035,-5.03698727007583,982.0051,-11.47839,NaN,NaN
951.909547738694,-11.6749896384334,951.909547738694,-13.6347500850667,951.909547738694,-5.01939075972389,982.55,-11.18978,NaN,NaN
952.562814070352,-11.6067866501624,952.562814070352,-13.5690918187184,952.562814070352,-5.00193471600268,983.7199,-11.13845,NaN,NaN
953.21608040201,-11.538857750587,953.21608040201,-13.503646031839,953.21608040201,-4.984617726501,985.3064,-11.56609,NaN,NaN
953.869346733668,-11.4712194119396,953.869346733668,-13.4384303635171,953.869346733668,-4.96743839654963,986.7345,-11.37099,NaN,NaN
954.522613065327,-11.4038869492653,954.522613065327,-13.3734613072252,954.522613065327,-4.95039534894755,986.8296,-11.06882,NaN,NaN
955.175879396985,-11.3368745769165,955.175879396985,-13.3087542633985,955.175879396985,-4.93348722369339,988.1054,-11.19845,NaN,NaN
955.829145728643,-11.2701954631294,955.829145728643,-13.2443235904702,955.829145728643,-4.91671267772191,989.0539,-10.64459,NaN,NaN
956.482412060301,-11.2038617826561,956.482412060301,-13.1801826543136,956.482412060301,-4.90007038464533,989.9837,-10.01592,NaN,NaN
957.13567839196,-11.137884767442,957.13567839196,-13.1163438760535,957.13567839196,-4.88355903449958,990.3542,-10.388,NaN,NaN
957.788944723618,-11.0722747553491,957.788944723618,-13.0528187782268,957.788944723618,-4.86717733349516,991.7256,-11.01308,NaN,NaN
958.442211055276,-11.0070412369378,958.442211055276,-12.9896180292801,958.442211055276,-4.85092400377266,992.1355,-11.56276,NaN,NaN
959.095477386935,-10.9421929003289,959.095477386935,-12.9267514864046,959.095477386935,-4.83479778316272,993.7938,-11.64389,NaN,NaN
959.748743718593,-10.8777376741739,959.748743718593,-12.8642282367173,959.748743718593,-4.81879742495041,NaN,NaN,NaN,NaN
960.402010050251,-10.8136827687706,960.402010050251,-12.8020566368055,960.402010050251,-4.80292169764392,NaN,NaN,NaN,NaN
